작성자의 이름을 기입하십시오. (예: 홍길동),text
소속 회사를 선택하십시오. ,text
프로젝트 명을 기입하십시오. (예 : HYCO_21),text
TBM 참석자의 이름을 모두 기입하십시오. (예: 홍길동, 이순신 2명),text
종이로 출력 후 TBM을 실시하였다면, TBM 시트를 SCAN 또는 촬영 후 사진을 Upload해 주십시오.  (이 경우, 하시 1~9번은 Check하지 않아도 됩니다)  ,text
1. 허가된 이동 경로를 따라 이동하고 있습니까?,radio
2.  작업하는 구역에서 화재 발생 시 대피 경로를 미리 확인하였습니까? ,radio
3. 이동 간 Site규정에서 요구하는 개인 보호 장비는 착용하고 있습니까?,radio
4. JSA (JOB Safety Analysis)결과는 토의 되었습니까?  JSA 항목을 기술하시오.,radio
5. JSA 결과에서는 작업과 관련된 위험을 모두 제시하고 있습니까? ,radio
6. 엔지니어의 건강 상태는 양호합니까?,radio
7. 작업허가서에 허가권자의 승인은 득하였습니까?,radio
8. 방문 현장의 안전규정에 맞는 필요한 개인 보호 장비는 모두 준비되어 있습니까?,radio
9. Rack Room, CCR에서 작업 간 안전 보호 장비는 착용하였습니까?,radio
10. 1번~9번 항목 중 "아니오"라고 답변한 경우의 조치 내용에 대해서 기술하시오. (없으면 "PASS"를 입력),text
11. 기타 특이사항이 있을 경우 기술하시오. (없으면 "PASS"를 입력),text
12. 위 사실과 다름 없음을 선언합니다.,radio
